IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
162.159.152.205,443,443,TRUE,美国-圣荷西-28,North America,San Jose,181,20
104.18.254.157,443,443,TRUE,美国-圣荷西-29,North America,San Jose,151,20
162.159.152.148,443,443,TRUE,美国-圣荷西-30,North America,San Jose,153,20
162.159.143.166,443,443,TRUE,美国-圣荷西-31,North America,San Jose,176,20
162.159.152.158,443,443,TRUE,美国-圣荷西-32,North America,San Jose,154,20
172.67.120.169,443,443,TRUE,美国-阿什伯恩-1,North America,Ashburn,222,20
104.22.6.149,443,443,TRUE,美国-阿什伯恩-2,North America,Ashburn,220,20
172.67.120.142,443,443,TRUE,美国-阿什伯恩-3,North America,Ashburn,229,20
172.67.120.97,443,443,TRUE,美国-阿什伯恩-4,North America,Ashburn,220,20
172.67.120.129,443,443,TRUE,美国-阿什伯恩-5,North America,Ashburn,225,20
172.67.123.244,443,443,TRUE,美国-阿什伯恩-6,North America,Ashburn,232,20
172.67.123.246,443,443,TRUE,美国-阿什伯恩-7,North America,Ashburn,235,20
172.67.122.228,443,443,TRUE,美国-阿什伯恩-8,North America,Ashburn,225,20
172.67.123.227,443,443,TRUE,美国-阿什伯恩-9,North America,Ashburn,215,20
172.67.123.187,443,443,TRUE,美国-阿什伯恩-10,North America,Ashburn,218,20
172.67.125.13,443,443,TRUE,美国-阿什伯恩-11,North America,Ashburn,225,20
172.67.126.168,443,443,TRUE,美国-阿什伯恩-12,North America,Ashburn,322,20
172.67.126.160,443,443,TRUE,美国-阿什伯恩-13,North America,Ashburn,238,20
172.67.125.229,443,443,TRUE,美国-阿什伯恩-14,North America,Ashburn,227,20
172.67.126.56,443,443,TRUE,美国-阿什伯恩-15,North America,Ashburn,218,20
172.67.126.14,443,443,TRUE,美国-阿什伯恩-16,North America,Ashburn,230,20
172.67.127.56,443,443,TRUE,美国-阿什伯恩-17,North America,Ashburn,226,20
172.67.127.125,443,443,TRUE,美国-阿什伯恩-18,North America,Ashburn,225,20
172.67.129.216,443,443,TRUE,英国-伦敦-1,Europe,London,197,20
172.67.129.129,443,443,TRUE,英国-伦敦-2,Europe,London,240,20
172.67.129.201,443,443,TRUE,英国-伦敦-3,Europe,London,221,20
172.67.129.85,443,443,TRUE,英国-伦敦-4,Europe,London,213,20
172.67.129.119,443,443,TRUE,英国-伦敦-5,Europe,London,211,20
172.67.129.25,443,443,TRUE,英国-伦敦-6,Europe,London,227,20
172.67.129.24,443,443,TRUE,英国-伦敦-7,Europe,London,209,20
172.67.129.200,443,443,TRUE,英国-伦敦-8,Europe,London,211,20
172.67.133.135,443,443,TRUE,英国-伦敦-9,Europe,London,221,20
172.67.133.1,443,443,TRUE,英国-伦敦-10,Europe,London,221,20
172.67.130.149,443,443,TRUE,英国-伦敦-11,Europe,London,203,20
172.67.129.192,443,443,TRUE,英国-伦敦-12,Europe,London,244,20
172.67.139.62,443,443,TRUE,英国-伦敦-13,Europe,London,220,20
172.67.139.237,443,443,TRUE,英国-伦敦-14,Europe,London,229,20
172.67.137.173,443,443,TRUE,英国-伦敦-15,Europe,London,220,20
172.67.134.95,443,443,TRUE,英国-伦敦-16,Europe,London,222,20
172.67.139.46,443,443,TRUE,英国-伦敦-17,Europe,London,207,20
172.67.139.140,443,443,TRUE,英国-伦敦-18,Europe,London,202,20
172.67.138.94,443,443,TRUE,英国-伦敦-19,Europe,London,210,20
172.67.137.91,443,443,TRUE,英国-伦敦-20,Europe,London,220,20
172.67.134.22,443,443,TRUE,英国-伦敦-21,Europe,London,209,20
172.67.137.139,443,443,TRUE,英国-伦敦-22,Europe,London,220,20
172.67.143.171,443,443,TRUE,英国-伦敦-23,Europe,London,207,20
172.67.140.142,443,443,TRUE,英国-伦敦-24,Europe,London,198,20
172.67.141.143,443,443,TRUE,英国-伦敦-25,Europe,London,225,20
